문제,답,유형
경제학의의 한 분야로 선택이 집계되어 나타나는 나라경제의 운행 과정을 다른한 분야는 무엇인가?,주체,주관식
거시경제 문제 중 실업과 상중 관계가 있는 것은 무엇인가?,인플레이션,주관식
경제학의 주체는 인플레이션 실업 경기 변동 및 무엇에 대가가 따르는가?,경제성장,주관식
총생산 총소득 총지출은 무엇 전체로 볼 때 일치하는가?,경제,주관식
명목 국내 총 생산 연도별 값은 어느나라 값인가?,대한민국,주관식
물가의 변화율을 나타내는 지표는 무엇인가?,인플레이션율,주관식
원칙적으로 거래되는 것만 포함하는 특징이 있는 곳은 어디인가?,시장,주관식
원칙적으로 시장에서 거래되는 것만 포함하는 특징이 있는 것은 무엇인가?,거래,주관식
최종재화와 중간재의 가치는 최종재의 가격에 이미 반영되어 있기 때문에 논다. 재화와 서비스의 시장가치는 무엇을 기준으로 하는가?,시장,주관식
국적은에 관계없이 해당 국가의 영토 안에서 생산을 의미하는 것은?,생산자,주관식
재화와 서비스의 시장 가치는 무엇을 기준으로 하는가?,가치,주관식
"비시장활동은 가정에서 생산, 소비되어 시장을 거치지 않는 품목인가?",생산,주관식
"비시장활동은 어디에서 생산, 소비되어 시장을 거치지 않는 품목인가요?",가정,주관식
비시장활동은 어디를 거치지 않는 품목인가?,시장,주관식
국내총생산의 특징은 한 국가의 규모를 측정하는 대표적인 지표로 한 나라의 규모를 측정한 대표적인 지표를 무엇이라 하는가?,경제,주관식
재화와 서비스의 가격을 평가할 때 재화 서비스는 무엇을 추정값으로 평가하나?,가격,주관식
재고 주택 보유자의 주거 서비스 등은 귀속 가격으로 어디에서 판매되는가?,시장,주관식
경제 전반에 관한 현상을 연구하는 분야로 경제주체들의 선택이 집계되어 나타나는 나라경제의 운행 과정을 다른다.,False경제 전반에 관한 현상을 연구하는 경제학의 한 분야로 경제주체들의 선택이 집계되어 나타나는 나라경제의 운행 과정을 다른다.,OX
거시경제 변수 지표로는 실업률 이자율 무역수지 환율 등이 있다.,True거시경제 변수 지표로는 국내총생산(GDP) 물가 수준 실업률 이자율 무역수지 환율 등이 있다.,OX
거시경제 문제로는 인플레이션 실업 경기 변동 및 경기 순환 경제성장 등이 있다.,False거시경제 문제로는 인플레이션 실업 경기 변동 및 경기 순환 경제성장 등이 있다.,OX
모든 선택에는 대가가 따른다.,True모든 선택에는 대가가 따른다.,OX
선택의 대가는 그것을 얻기 위해 포기한 것이다. 가치 없는 그 무엇이다. 가치 있는 것은 아무것도 얻지 못한다.,False2 선택의 대가는 그것을 얻기 위해 포기한 그 무엇이다.,OX
한 나라의 생활 수준은 그 나라의 생산 능력에 달려있다. 라틴아메리카와 미국과는 다르다.,False한 나라의 생활 수준은 그 나라의 생산 능력에 달려 있다.,OX
합리적 판단은 모든 사람을 이롭게 한다.,True따라서 합리적 판단은 한계적으로 이루어지며 자유 거래는 모든 사람을 이롭게 한다.,OX
통화량이 지나치게 증가하면 물가는 상승한다.,True통화량이 지나치게 증가하면 물가는 상승한다.,OX
단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다. 고찰이 가능하다.,True2. 단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다.,OX
통화량이 너무 많아지면 물가는 오른다. . . .,False3. 통화량이 너무 많아지면 물가는 오른다.,OX
단기적으로는 인플레이션과 실업 사이에 상중 관계가 없다. 고로 상관관계만 있을 뿐이다.,False단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다.,OX
한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다.,True한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다.,OX
국민 소득을 나타내는 지포는 없다.,False국민 소득을 나타내는 지포이다.,OX
한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스는 시장 가치에 포함되지 않는다.,False한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다.,OX
인플레이션율은 물가의 변화율을 나타낸다.,True인플레이션율은 물가의 변화율을 나타내는 지표이다.,OX
실업자가 경제 활동 인구에서 차지하는 비율을 나타낸다.,True실업자가 경제 활동 인구에서 차지하는 비율을 나타내는 지포이다.,OX
대한민국 명목 국내 총 생산 연도별 값은 다음과 같다.,True대한민국 명목 국내 총 생산 연도별 값은 다음과 같다.,OX
국내총생산은 한 나라에서 일정 기간 동안 생산트 모든 최종 재화와 서비스의 시장 가치를 결정짓는다.,True국내총생산은 한 나라에서 일정 기간 동안 생산트 모든 최종 재화와 서비스의 시장 가치이다.,OX
경제 전체로 볼 때 총생산 총소득 총지출은 일치한다.,True경제 전체로 볼 때 총생산 총소득 총지출은 일치한다.,OX
다는 것은 최종 생산물이 아니구요. 원칙적으로 시장에서 거래되는 것만 포함하는 특징이 있다. . .,True다는 것은 최종 생산물이 아니구요. 원칙적으로 시장에서 거래되는 것만 포함한다는 특징이 있다.,OX
중간재는 제외한다는 것이다. 가장 큰 이유는 중간재를 포함하기 때문이다.,True그러나 중간재는 제외한다는 것이다.,OX
해당 국가의 영토 안에서 생산되는 것을 의미한다. 한 나라에서. 생산자의 국적에 상관없이 해당 국가가 생산을 한다.,True한 나라에서. 생산자의 국적에 상관없이 해당 국가의 영토 안에서 생산을 의미한다.,OX
일정 기간 동안. 분기 또는 1년을 기준으로 한다.,True일정 기간 동안. 분기 또는 1년을 기준으로 한다.,OX
해당 기간에 새로 생산된 재화와 서비스만을 포함하는 것은 아니다.,True생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다.,OX
시장에서 합법적으로 판매된 모든 품목을 포함하는 것은 아니다. 가격은 비싸지 않다.,True모든 게 시장에서 합법적으로 판매된 모든 품목을 포함한다.,OX
중간재의 가치는 최종재 가격에 이미 반영되어 있다. 고로 논다.,False최종 재화와 서비스의. 중간재의 가치는 최종재의 가격에 이미 반영되어 있기 때문에 논다.,OX
시장 가. 재화와 서비스의 시장 가치를 이용하지 않는다.,True시장 가치. 재화와 서비스의 시장 가치를 이용한다.,OX
해당 국가의 영토 안에서 생산이 가능하다는 의미이다. 가치있는 생산을 의미한다.,True적과 상관없이 해당 국가의 영토 안에서 생산을 의미한다.,OX
일정 기간 동안. 분기 또는 1년을 기준으로 한다.,True일정 기간 동안. 분기 또는 1년을 기준으로 한다.,OX
해당 기간에 새로 생산된 재화와 서비스만을 포함하는 것은 아니다.,True생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다.,OX
중간재의 가치는 최종재 가격에 이미 반영되어 있다. - 중간재를 포함시킨다.,True최종 재화와 서비스의. 중간재의 가치는 최종재의 가격에 이미 반영되어 있으므로 포함시키지 않는다.,OX
시장 가. 재화와 서비스의 시장 가격을 이용하는 것은 시장 가치와 관련있다.,True시장 가치. 재화와 서비스의 시장 가격을 이용한다.,OX
중간재 지하경제 이전 지출이 포함되지 않는 품목은 비시장 활동이다.,True비시장 활동 중고품 중간재 지하경제 이전 지출이 포함되지 않는 것으로는 비시장 비시장 활동은 가정에서 생산 및 소비되어 시장을 거치지 않는 품목이다.,OX
중고품이나 중간재는 이중 계산 문제 발생을 방지하기 위해 포함하지 않는다. .,True중고품이나 중간재는 이중 계산 문제 발생을 방지하기 위해 포함하지 않 는다.,OX
지하경제는 마약 성매매 도박 등 불법으로 생산 및 판매되는 품목도 있다.,True지하경제는 마약 성매매 도박 등 불법으로 생산 및 판매되는 품목이다.,OX
재화와 서비스의 가격 추정값은 귀속 가격으로 시장에서 판매되므로 시장 가격이 형성되지 않는다.,False재고 주택 보유자의 주거 서비스 등이 포함되는 것으로는 재고 주택 주거 서비스 등은 귀속 가격으로 시장에서 판매되지 않아 시장 가격이 형성되지 않으므로 재화와 서비스의 가격 추정값으로 평가한다.,OX
국내 총생산은 각 생산 단계에서의 부가가치의 합계로 측정할 수도 있다.,False국내 총생산은 각 생산 단계에서의 부가가치의 합계로 측정할 수도 있다.,OX
부가가치는 각 생산 단계에서 새로이 창출된 가치라고 볼 수 있는 부분이 하나도 없다.,False부가가치는 각 생산 단계에서 새로이 창출된 가치라고 볼 수 있는 부분이다.,OX
국내 총생산은 최종재 가치의 합이다. 부가가치의 합은 더 이상 존재하지 않는다.,False즉 국내 총생산은 최종재 가치의 합이고 이는 부가가치의 합이다.,OX
국민총생산의 정의는 국내 총생산에서 해외에서 번 소득을 제외하는 것이다.,True국민총생산의 정의는 한 나라의 국민이 국내외에서 생산한 최종 생산물의 총가치 계산 방식은 국내 총생산에서 해외에서 번 소득을 제외하며 특징은 국민의 총소득 개념을 포함하여 국제적 비교에 유리하다.,OX
국민 순생산의 평균은 국민 총생산에서 감가상각을 제외하면 절대 높지 않다.,False국민 순생산의 정의는 국민 총생산에서 감가상각을 제외하면 국민 총생산의 평균을 의미한다.,OX
"개별 경제[  ]들이 어떻게 의사결정을 하고 이들이 시장에서 어떻게 상호작용하는지를 다루는 경제학의 한 분이다. 경제 전반에 관한 현상을 연구하는 경제학의 한 분야로 경제[  ]들의 선택이 집계되어 나타나는 나라경제의 운행 과정을 다른다. 거시경제 변수 지표로는 국내총생산(GDP) 물가 수준 실업률 이자율 무역수지 환율 등이 있다. 거시경제 문제로는 인플레이션 실업 경기 변동 및 경기 순환 경제성장 등이 있다. 모든 선택에는 대가가 따른다. 2 선택의 대가는 그것을 얻기 위해 포기한 그 무엇이다. 한 나라의 생활 수준은 그 나라의 생산 능력에 달려 있다. 따라서 합리적 판단은 한계적으로 이루어지며 자유 거래는 모든 사람을 이롭게 한다. 통화량이 지나치게 증가하면 물가는 상승한다. 2. 단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다. 3. 통화량이 너무 많아지면 물가는 오른다. 단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다. 생산성 향상 및 신산업 육성, 저출산 문제, 부동산 시장의 수급 균형과 부동산 가격의 연착록, 가계부채 문제, 소득 불평등 문제, 국가부채 문제이다. 한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다. 국민 소득을 나타내는 지포이다. ",주체,빈칸
"개별 경제주체들이 어떻게 의사결정을 하고 이들이 시장에서 어떻게 상호작용하는지를 다루는 경제학의 한 분이다. 경제 전반에 관한 현상을 연구하는 경제학의 한 분야로 경제주체들의 선택이 집계되어 나타나는 나라경제의 운행 과정을 다른다. 거시경제 변수 지표로는 국내총생산(GDP) 물가 수준 실업률 이자율 무역수지 환율 등이 있다. 거시경제 문제로는 [     ] 실업 경기 변동 및 경기 순환 경제성장 등이 있다. 모든 선택에는 대가가 따른다. 2 선택의 대가는 그것을 얻기 위해 포기한 그 무엇이다. 한 나라의 생활 수준은 그 나라의 생산 능력에 달려 있다. 따라서 합리적 판단은 한계적으로 이루어지며 자유 거래는 모든 사람을 이롭게 한다. 통화량이 지나치게 증가하면 물가는 상승한다. 2. 단기적으로는 [     ]과 실업 사이에 상중 관계가 있다. 3. 통화량이 너무 많아지면 물가는 오른다. 단기적으로는 [     ]과 실업 사이에 상중 관계가 있다. 생산성 향상 및 신산업 육성, 저출산 문제, 부동산 시장의 수급 균형과 부동산 가격의 연착록, 가계부채 문제, 소득 불평등 문제, 국가부채 문제이다. 한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다. 국민 소득을 나타내는 지포이다. ",인플레이션,빈칸
"개별 경제주체들이 어떻게 의사결정을 하고 이들이 시장에서 어떻게 상호작용하는지를 다루는 경제학의 한 분이다. 경제 전반에 관한 현상을 연구하는 경제학의 한 분야로 경제주체들의 선택이 집계되어 나타나는 나라경제의 운행 과정을 다른다. 거시경제 변수 지표로는 국내총생산(GDP) 물가 수준 실업률 이자율 무역수지 환율 등이 있다. 거시경제 문제로는 인플레이션 실업 경기 변동 및 경기 순환 [    ] 등이 있다. 모든 선택에는 대가가 따른다. 2 선택의 대가는 그것을 얻기 위해 포기한 그 무엇이다. 한 나라의 생활 수준은 그 나라의 생산 능력에 달려 있다. 따라서 합리적 판단은 한계적으로 이루어지며 자유 거래는 모든 사람을 이롭게 한다. 통화량이 지나치게 증가하면 물가는 상승한다. 2. 단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다. 3. 통화량이 너무 많아지면 물가는 오른다. 단기적으로는 인플레이션과 실업 사이에 상중 관계가 있다. 생산성 향상 및 신산업 육성, 저출산 문제, 부동산 시장의 수급 균형과 부동산 가격의 연착록, 가계부채 문제, 소득 불평등 문제, 국가부채 문제이다. 한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다. 국민 소득을 나타내는 지포이다. ",경제성장,빈칸
한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다. 인플레이션율은 물가의 변화율을 나타내는 지표이다.  실업자가 [  ] 활동 인구에서 차지하는 비율을 나타내는 지포이다. 대한민국 명목 국내 총 생산 연도별 값은 다음과 같다. 국내총생산은 한 나라에서 일정 기간 동안 생산트 모든 최종 재화와 서비스의 시장 가치이다. [  ] 전체로 볼 때 총생산 총소득 총지출은 일치한다. 다는 것은 최종 생산물이 아니구요.,경제,빈칸
한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다. 인플레이션율은 물가의 변화율을 나타내는 지표이다.  실업자가 경제 활동 인구에서 차지하는 비율을 나타내는 지포이다. [    ] 명목 국내 총 생산 연도별 값은 다음과 같다. 국내총생산은 한 나라에서 일정 기간 동안 생산트 모든 최종 재화와 서비스의 시장 가치이다. 경제 전체로 볼 때 총생산 총소득 총지출은 일치한다. 다는 것은 최종 생산물이 아니구요.,대한민국,빈칸
한 나라에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치이다. [      ]은 물가의 변화율을 나타내는 지표이다.  실업자가 경제 활동 인구에서 차지하는 비율을 나타내는 지포이다. 대한민국 명목 국내 총 생산 연도별 값은 다음과 같다. 국내총생산은 한 나라에서 일정 기간 동안 생산트 모든 최종 재화와 서비스의 시장 가치이다. 경제 전체로 볼 때 총생산 총소득 총지출은 일치한다. 다는 것은 최종 생산물이 아니구요.,인플레이션율,빈칸
원칙적으로 [  ]에서 거래되는 것만 포함한다는 특징이 있다. 그러나 중간재는 제외한다는 것이다. 한 나라에서.,시장,빈칸
원칙적으로 시장에서 [  ]되는 것만 포함한다는 특징이 있다. 그러나 중간재는 제외한다는 것이다. 한 나라에서.,거래,빈칸
생산자의 국적에 상관없이 해당 국가의 영토 안에서 생산을 의미한다. 일정 기간 동안. 분기 또는 1년을 기준으로 한다. 생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다. 모든 게 [  ]에서 합법적으로 판매된 모든 품목을 포함한다. 최종 재화와 서비스의. 중간재의 가치는 최종재의 가격에 이미 반영되어 있기 때문에 논다. [  ] 가치. 재화와 서비스의 [  ] 가치를 이용한다. 적과 상관없이 해당 국가의 영토 안에서 생산을 의미한다. 일정 기간 동안. 분기 또는 1년을 기준으로 한다. 생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다. 최종 재화와 서비스의. 중간재의 가치는 최종재의 가격에 이미 반영되어 있으므로 포함시키지 않는다. [  ] 가치. 재화와 서비스의 [  ] 가격을 이용한다. 비[  ] 활동 중고품 중간재 지하경제 이전 지출이 포함되지 않는 것으로는 비[  ],시장,빈칸
[   ]의 국적에 상관없이 해당 국가의 영토 안에서 생산을 의미한다. 일정 기간 동안. 분기 또는 1년을 기준으로 한다. 생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다. 모든 게 시장에서 합법적으로 판매된 모든 품목을 포함한다. 최종 재화와 서비스의. 중간재의 가치는 최종재의 가격에 이미 반영되어 있기 때문에 논다. 시장 가치. 재화와 서비스의 시장 가치를 이용한다. 적과 상관없이 해당 국가의 영토 안에서 생산을 의미한다. 일정 기간 동안. 분기 또는 1년을 기준으로 한다. 생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다. 최종 재화와 서비스의. 중간재의 가치는 최종재의 가격에 이미 반영되어 있으므로 포함시키지 않는다. 시장 가치. 재화와 서비스의 시장 가격을 이용한다. 비시장 활동 중고품 중간재 지하경제 이전 지출이 포함되지 않는 것으로는 비시장,생산자,빈칸
생산자의 국적에 상관없이 해당 국가의 영토 안에서 생산을 의미한다. 일정 기간 동안. 분기 또는 1년을 기준으로 한다. 생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다. 모든 게 시장에서 합법적으로 판매된 모든 품목을 포함한다. 최종 재화와 서비스의. 중간재의 [  ]는 최종재의 가격에 이미 반영되어 있기 때문에 논다. 시장 [  ]. 재화와 서비스의 시장 [  ]를 이용한다. 적과 상관없이 해당 국가의 영토 안에서 생산을 의미한다. 일정 기간 동안. 분기 또는 1년을 기준으로 한다. 생산된 건 해당 기간에 새로 생산된 재화와 서비스만을 포함한다. 최종 재화와 서비스의. 중간재의 [  ]는 최종재의 가격에 이미 반영되어 있으므로 포함시키지 않는다. 시장 [  ]. 재화와 서비스의 시장 가격을 이용한다. 비시장 활동 중고품 중간재 지하경제 이전 지출이 포함되지 않는 것으로는 비시장,가치,빈칸
비시장 활동은 가정에서 [  ] 및 소비되어 시장을 거치지 않는 품목이다. 중고품이나 중간재는 이중 계산 문제 발생을 방지하기 위해 포함하지 않 는다.,생산,빈칸
비시장 활동은 [  ]에서 생산 및 소비되어 시장을 거치지 않는 품목이다. 중고품이나 중간재는 이중 계산 문제 발생을 방지하기 위해 포함하지 않 는다.,가정,빈칸
비[  ] 활동은 가정에서 생산 및 소비되어 [  ]을 거치지 않는 품목이다. 중고품이나 중간재는 이중 계산 문제 발생을 방지하기 위해 포함하지 않 는다.,시장,빈칸
지하[  ]는 마약 성매매 도박 등 불법으로 생산 및 판매되는 품목이다. 재고 주택 보유자의 주거 서비스 등이 포함되는 것으로는 재고 주택 주거 서비스 등은 귀속 가격으로 시장에서 판매되지 않아 시장 가격이 형성되지 않으므로 재화와 서비스의 가격 추정값으로 평가한다. 국내 총생산은 각 생산 단계에서의 부가가치의 합계로 측정할 수도 있다. 부가가치는 각 생산 단계에서 새로이 창출된 가치라고 볼 수 있는 부분이다.  즉 국내 총생산은 최종재 가치의 합이고 이는 부가가치의 합이다. 국내총생산의 정의는 한 나라의 국내에서 생산된 최종 생산물의 총가치 계산 방식은 소비와 투자와 정부 지출과 수출의 합에서 수입 제외이며 특징은 한 국가의 [  ] 규모를 측정하는 대표적인 지표이다. 국민총생산의 정의는 한 나라의 국민이 국내외에서 생산한 최종 생산물의 총가치 계산 방식은 국내 총생산에서 해외에서 번 소득을 제외하며 특징은 국민의 총소득 개념을 포함하여 국제적 비교에 유리하다. 국내 순생산의 정의는 국민 총생산에서 감가상각을 제외하며 특징은 국내에서 실질적으로 창출된 부가가치를 파악하는 데 유용하다. 국민 순생산의 정의는 국민 총생산에서 감가상각을 제외하면 국민 총생산의 평균을 의미한다.,경제,빈칸
지하경제는 마약 성매매 도박 등 불법으로 생산 및 판매되는 품목이다. 재고 주택 보유자의 주거 서비스 등이 포함되는 것으로는 재고 주택 주거 서비스 등은 귀속 [  ]으로 시장에서 판매되지 않아 시장 [  ]이 형성되지 않으므로 재화와 서비스의 [  ] 추정값으로 평가한다. 국내 총생산은 각 생산 단계에서의 부가가치의 합계로 측정할 수도 있다. 부가가치는 각 생산 단계에서 새로이 창출된 가치라고 볼 수 있는 부분이다.  즉 국내 총생산은 최종재 가치의 합이고 이는 부가가치의 합이다. 국내총생산의 정의는 한 나라의 국내에서 생산된 최종 생산물의 총가치 계산 방식은 소비와 투자와 정부 지출과 수출의 합에서 수입 제외이며 특징은 한 국가의 경제 규모를 측정하는 대표적인 지표이다. 국민총생산의 정의는 한 나라의 국민이 국내외에서 생산한 최종 생산물의 총가치 계산 방식은 국내 총생산에서 해외에서 번 소득을 제외하며 특징은 국민의 총소득 개념을 포함하여 국제적 비교에 유리하다. 국내 순생산의 정의는 국민 총생산에서 감가상각을 제외하며 특징은 국내에서 실질적으로 창출된 부가가치를 파악하는 데 유용하다. 국민 순생산의 정의는 국민 총생산에서 감가상각을 제외하면 국민 총생산의 평균을 의미한다.,가격,빈칸
지하경제는 마약 성매매 도박 등 불법으로 생산 및 판매되는 품목이다. 재고 주택 보유자의 주거 서비스 등이 포함되는 것으로는 재고 주택 주거 서비스 등은 귀속 가격으로 [  ]에서 판매되지 않아 [  ] 가격이 형성되지 않으므로 재화와 서비스의 가격 추정값으로 평가한다. 국내 총생산은 각 생산 단계에서의 부가가치의 합계로 측정할 수도 있다. 부가가치는 각 생산 단계에서 새로이 창출된 가치라고 볼 수 있는 부분이다.  즉 국내 총생산은 최종재 가치의 합이고 이는 부가가치의 합이다. 국내총생산의 정의는 한 나라의 국내에서 생산된 최종 생산물의 총가치 계산 방식은 소비와 투자와 정부 지출과 수출의 합에서 수입 제외이며 특징은 한 국가의 경제 규모를 측정하는 대표적인 지표이다. 국민총생산의 정의는 한 나라의 국민이 국내외에서 생산한 최종 생산물의 총가치 계산 방식은 국내 총생산에서 해외에서 번 소득을 제외하며 특징은 국민의 총소득 개념을 포함하여 국제적 비교에 유리하다. 국내 순생산의 정의는 국민 총생산에서 감가상각을 제외하며 특징은 국내에서 실질적으로 창출된 부가가치를 파악하는 데 유용하다. 국민 순생산의 정의는 국민 총생산에서 감가상각을 제외하면 국민 총생산의 평균을 의미한다.,시장,빈칸
경제에 대해 서술하시오.,--,서술형
가격에 대해 서술하시오.,--,서술형
가치에 대해 서술하시오.,--,서술형
생산자에 대해 서술하시오.,--,서술형
거래에 대해 서술하시오.,--,서술형
인플레이션에 대해 서술하시오.,--,서술형
가정에 대해 서술하시오.,--,서술형
시장에 대해 서술하시오.,--,서술형
생산에 대해 서술하시오.,--,서술형
인플레이션율에 대해 서술하시오.,--,서술형
경제성장에 대해 서술하시오.,--,서술형
주체에 대해 서술하시오.,--,서술형
대한민국에 대해 서술하시오.,--,서술형
